unit	schlname_short	schlname_long	schl_id
453	SP ED DUAL ENROLL		610495
482	STATE PREKDGN PROG		610522
959	C-W SPEC ALT SCHLS		610497
1010	CHICAGO VOCATIONAL H	CHICAGO VOCATIONAL CAREER ACADEMY HIGH SCHOOL	609674
1020	BEST PRACTICE HS	BEST PRACTICE HIGH SCHOOL	610370
1030	DUNBAR HS	PAUL LAURENCE DUNBAR CAREER ACADEMY HIGH SCHOOL	609676
1045	COLLINS ACAD HS	COLLINS ACADEMY HIGH SCHOOL	610499
1060	JONES  HS	WILLIAM JONES COLLEGE PREPARATORY HIGH SCHOOL	609678
1065	AUSTIN POLYTECH HS	AUSTIN POLYTECHNICAL ACADEMY HIGH SCHOOL	610501
1070	PROSSER HS	CHARLES ALLEN PROSSER CAREER ACADEMY HIGH SCHOOL	609679
1085	MARINE MIL ACAD HS	MARINE MILITARY ACADEMY HIGH SCHOOL	610502
1090	PAYTON HS	WALTER PAYTON COLLEGE PREPARATORY HIGH SCHOOL	609680
1105	NORTH LAWNDALE CHART	NORTH LAWNDALE CHARTER HIGH SCHOOL	400058
1106	NTH LAWNDALE CHR COL	NORTH LAWNDALE CHARTER HIGH SCHOOL COLLINS CAMPUS	400059
1110	RICHARDS HS	ELLEN H RICHARDS CAREER ACADEMY HIGH SCHOOL	609682
1120	ALT LEARNING HS	ALTERNATIVE LEARNING COMMUNITY HIGH SCHOOL	609683
1121	YOUTH CONNECTIONS AL	YOUTH CONNECTIONS CHARTER SCHOOL	609686
1123	PEACE & EDUCATION AL	PEACE & EDUCATION COALLITION HIGH SCHOOL-WEST	610386
1125	LINC ALTERNATIVE HS	LINC ALTERNATIVE HIGH SCHOOL	610388
1135	PROLOGUE EARLY COLL	PROLOGUE DUBOIS ALTERNATIVE CHARTER HIGH SCHOOL*	400070
1140	NORTH-GRAND HS	NORTH-GRAND HIGH SCHOOL	609691
1145	VOISE ACADEMY HIGH S	VOISE Academy High School	610518
1150	SIMEON HS	NEAL F SIMEON CAREER ACADEMY HIGH SCHOOL	609692
1165	FORD POWER HOUSE CHA	Henry Ford Academy Power House Charter High School	400042
1200	HANCOCK HS	JOHN HANCOCK COLLEGE PREPARATORY HIGH SCHOOL	609694
1210	AMUNDSEN HS	ROALD AMUNDSEN HIGH SCHOOL	609695
1225	COMMUNITY SERVICES W	Community Services West Academy High School	400038
1230	BOGAN HS	WILLIAM J BOGAN HIGH SCHOOL	609698
1270	CRANE HS	RICHARD T CRANE TECHNICAL PREPARATORY HS	609702
1300	FARRAGUT HS	DAVID G FARRAGUT CAREER ACADEMY HIGH SCHOOL	609704
1310	FENGER ACADEMY HIGH	CHRISTIAN FENGER ACADEMY HIGH SCHOOL	609705
1320	ROBESON HS	PAUL ROBESON HIGH SCHOOL	609707
1330	FOREMAN HS	EDWIN G FOREMAN HIGH SCHOOL	609708
1340	GAGE PARK HS	GAGE PARK HIGH SCHOOL	609709
1350	HARLAN HS	JOHN M HARLAN COMMUNITY ACADEMY HIGH SCHOOL	609710
1360	HARPER HS	WILLIAM RAINEY HARPER HIGH SCHOOL	609711
1380	HIRSCH HS	EMIL G HIRSCH METROPOLITAN HIGH SCHOOL	609712
1390	HYDE PARK HS	HYDE PARK ACADEMY HIGH SCHOOL	609713
1400	KELLY HS	THOMAS KELLY HIGH SCHOOL	609715
1410	KELVYN PARK HS	KELVYN PARK HIGH SCHOOL	609716
1420	KENNEDY HS	JOHN F KENNEDY HIGH SCHOOL	609718
1430	LAKE VIEW HS	LAKE VIEW HIGH SCHOOL	609719
1440	LANE TECH HS	ALBERT G LANE TECHNICAL HIGH SCHOOL	609720
1460	MANLEY HS	MANLEY CAREER ACADEMY HIGH SCHOOL	609722
1470	MARSHALL HS	JOHN MARSHALL METROPOLITAN HIGH SCHOOL	609723
1480	MATHER HS	STEPHEN T MATHER HIGH SCHOOL	609724
1490	MORGAN PARK HS	MORGAN PARK HIGH SCHOOL	609725
1500	BROOKS HS	GWENDOLYN BROOKS COLLEGE PREPARATORY ACADEMY HS	609726
1510	PHILLIPS HS	WENDELL PHILLIPS ACADEMY HIGH SCHOOL	609727
